pojazd_id,marka,kategoria,typ,model,wariant,wersja,rodzaj,podrodzaj,przeznaczenie,pochodzenie,rodzaj_tab_znamionowej,rok_produkcji,sposob_produkcji,data_pierwszej_rej,data_rejestracji_ost,data_pierwszej_rej_za_granica,pojemnosc_silnika,moc_do_masy,moc_silnika,moc_silnika_hybrydowego,masa_wlasna,masa_pgj,dopuszczalna_masa_calkowita,maksymalna_masa_calkowita,dopuszczalna_ladownosc_calk,maksymalna_ladownosc_calk,dopuszczalna_masa_ciag_zesp,liczba_osi,naj_dopuszczalny_nacisk_osi,naj_maksymalny_nacisk_osi,max_masa_przyczepy_z_hamulcem,max_masa_przyczepy_bez_ham,liczba_miejsc_ogolem,liczba_miejsc_siedzacych,liczba_miejsc_stojacych,rodzaj_paliwa,rodzaj_paliwa_alternatywnego,rodzaj_paliwa_alternatywnego2,sr_zuzycie_pal,rodzaj_zawieszenia,radar,hak,kierownica_polozenie,kierownica_z_prawej,katalizator,producent_podstawowy,kod_ident,rozstaw_osi_kierowanej,rozstaw_kol_max,rozstaw_kol_sred,rozstaw_kol_min,emisja_co2_redukcja,wersja_rpp,kod_rpp,data_wyrejestrowania,przyczyna_wyrejestrowania,data_wprowadzenia_danych,akt_miejsce_rej_wojwe,akt_miejsce_rej_powiat,akt_miejsce_rej_gmina,siedziba_wlasciciela_woj,siedziba_wlasciciela_pow,siedziba_wlasciciela_gmina,data_pierwszej_rej_w_kraju,createtimestamp,modifytimestamp,siedziba_wlasciciela_woj_teryt,akt_miejsce_rej_wojew_teryt,emisja_co2,emisja_co2_pal_alternatywne1
56523624466250,IFA,,---,HL. 80,---,---,PRZYCZEPA CIĘŻAROWA ROLNICZA,WYWROTKA,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,1982,FABRYCZNY,1982-08-26,2013-05-21,,,,,,4000,,12000,12000,8000,,,2,60,60,,,,,,,,,,,,N,,,B,,006660009000000,,,,,,9,15,,,,KUJAWSKO-POMORSKIE,INOWROCŁAWSKI,INOWROCŁAW,KUJAWSKO-POMORSKIE,INOWROCŁAWSKI,KRUSZWICA,1982-08-26,2019-03-15,2019-03-15,04,04,,
72290965680520,SAM,,,DWUKOŁOWA,,,PRZYCZEPA LEKKA,CIĘŻAROWA,---,NOWY ZAKUPIONY W KRAJU,NIEOKRESLONA,1993,FABRYCZNY,1994-03-16,1994-03-16,,,,,,520,,1270,,750,,,,,,,,,,,INNE,,,,,,B,,,B,,,,,,,,,,,,,KUJAWSKO-POMORSKIE,RYPIŃSKI,RYPIN,KUJAWSKO-POMORSKIE,RYPIŃSKI,BRZUZE,1994-03-16,2019-03-15,2019-03-15,04,04,,
18238695981310,PEUGEOT,,---,S1,---,---,MOTOROWER,---,---,UŻYW. IMPORT INDYW,ORYGINALNA,2003,FABRYCZNY,2011-06-28,2015-05-19,,49.00,0.0366,3.00,,82,,270,,188,,,2,1,1,,,2,2,,BENZYNA,,,,,,N,,,N,,002250099000000,,,,,,9,01,,,,KUJAWSKO-POMORSKIE,SĘPOLEŃSKI,SĘPÓLNO KRAJEŃSKIE,KUJAWSKO-POMORSKIE,SĘPOLEŃSKI,WIĘCBORK,2011-06-28,2019-03-15,2019-03-15,04,04,,
74944295872100,VOLKSWAGEN,,---,GOLF 1.4 KAT,---,---,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. IMPORT INDYW,ORYGINALNA,2003,FABRYCZNY,2003-09-29,2017-08-22,2003-09-29,1390.00,,55.00,,1204,,1710,1710,506,,2710,2,9,9,1000,580,5,5,,BENZYNA,,,,,,N,,,N,,002170020000000,,,,,,9,03,,,,KUJAWSKO-POMORSKIE,ŚWIECKI,ŚWIECIE,KUJAWSKO-POMORSKIE,ŚWIECKI,LNIANO,2017-08-22,2019-03-15,2019-03-15,04,04,,
6116323794536,RENAULT,,---,MASTER,---,---,SAMOCHÓD CIĘŻAROWY,VAN,---,UŻYW. IMPORT INDYW,ORYGINALNA,2005,FABRYCZNY,2005-03-31,2014-03-18,2005-03-31,2463.00,,73.00,,1770,,2800,2800,1030,,4800,2,16,16,2000,750,3,3,,OLEJ NAPĘDOWY,,,,,,T,,,N,,002260010000000,,,,,,9,06,,,,KUJAWSKO-POMORSKIE,ŚWIECKI,ŚWIECIE,KUJAWSKO-POMORSKIE,ŚWIECKI,ŚWIECIE,2014-03-18,2019-03-15,2019-03-15,04,04,,
12247522445422,KYMCO,,---,AGILITY 50 MMC,---,---,MOTOROWER,---,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,2008,FABRYCZNY,2012-04-20,2017-10-09,,49.00,0.0261,2.40,,92,,247,,,,,2,1,1,,,1,1,,BENZYNA,,,,,,N,,,N,,005730041000000,,,,,,9,01,,,,KUJAWSKO-POMORSKIE,INOWROCŁAWSKI,INOWROCŁAW,KUJAWSKO-POMORSKIE,INOWROCŁAWSKI,GNIEWKOWO,2012-04-20,2019-03-15,2019-03-15,04,04,,
20296348881139,FORD,,---,"MONDEO 2,0 16V",---,---,SAMOCHÓD OSOBOWY,KOMBI,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,1995,FABRYCZNY,1995-06-26,2010-05-07,1995-06-26,1988.00,,100.00,,1315,,1975,1975,,,,2,10,10,1400,695,5,5,,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),,,,,N,,,N,,002180003000000,,,,,,9,03,,,,KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,2007-09-21,2019-03-15,2019-03-15,04,04,,
57627556121220,DAFIER,2,,,,,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2016,FABRYCZNY,2016-09-26,2016-09-26,,49.50,0.0248,2.80,,113,,263,,,,,2,2,2,,,2,2,,BENZYNA,,,,,,N,,,T,,,,,,,,,,,,,KUJAWSKO-POMORSKIE,CHEŁMIŃSKI,CHEŁMNO,KUJAWSKO-POMORSKIE,CHEŁMIŃSKI,CHEŁMNO,2016-09-26,2019-03-15,2019-03-15,04,04,,
75977426056611,HONDA,,---,CIVIC 1.5 KAT,---,---,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,1993,FABRYCZNY,1993-01-11,2015-11-06,1993-01-11,1493.00,,66.00,,1020,,1460,1460,,,,2,8,8,1000,410,5,5,,BENZYNA,,,,,,N,,,N,,001110003000000,,,,,,9,03,,,,KUJAWSKO-POMORSKIE,INOWROCŁAWSKI,INOWROCŁAW,KUJAWSKO-POMORSKIE,INOWROCŁAWSKI,ROJEWO,2004-12-17,2019-03-15,2019-03-15,04,04,,
18860025023782,VOLKSWAGEN,,---,"BORA 1,9 TDI",---,---,SAMOCHÓD OSOBOWY,KOMBI,---,UŻYW. IMPORT INDYW,ORYGINALNA,2000,FABRYCZNY,2001-04-05,2019-02-21,2001-04-05,1896.00,,85.00,,1425,,1880,1880,,,,2,10,10,1400,600,5,5,,OLEJ NAPĘDOWY,,,,,,T,,,N,,002170032000000,,,,,,9,03,,,,KUJAWSKO-POMORSKIE,WĄBRZESKI,WĄBRZEŹNO,,,,2009-08-27,2019-03-15,2019-03-15,,04,,
